snapshot_id,collected_at_kst,observed_hour_kst,service_date,day_of_week,day_name_ko,is_weekend,is_holiday,holiday_name,hour,time_bucket_10m,time_period,route_id,route_name,canonical_route_name,route_type_cd,route_type_name,veh_id,plate_no,station_id,station_seq,station_name,mobile_no,x,y,remain_seat_cnt,crowded,crowded_label,estimated_capacity,seat_scarcity_score,is_no_seat,is_low_seat_2,is_low_seat_5,temperature,precipitation,humidity,wind_speed,cloud_amount,weather_text,weather_imputed,pm10,pm25,o3,khai,air_quality_grade,air_quality_imputed,avg_speed,traffic_volume,delay_time,congestion_level,traffic_imputed,event_count,event_nearby_count,event_imputed,created_at
1,2026-05-21T07:50:00+09:00,2026-05-21T07:00:00+09:00,2026-05-21,3,목,0,1,,7,07:50,morning_peak,5000001,5000,5000,11,직행좌석형시내버스,5000001,경기70바101,228000101,1,명지대,47610,127.1901,37.2221,18,1,여유,45,43,0,0,0,15.8,0.0,62.0,1.8,2.0,clear,0,38.0,18.0,0.031,62.0,보통,0,41.5,820.0,6.0,2,0,2,1,0,2026-05-20T18:00:09+00:00
2,2026-05-21T07:50:00+09:00,2026-05-21T07:00:00+09:00,2026-05-21,3,목,0,1,,7,07:50,morning_peak,5000001,5000,5000,11,직행좌석형시내버스,5000001,경기70바101,228000102,2,명지대입구,47611,127.1885,37.2244,9,2,보통,45,66,0,0,0,15.8,0.0,62.0,1.8,2.0,clear,0,38.0,18.0,0.031,62.0,보통,0,41.5,820.0,6.0,2,0,2,1,0,2026-05-20T18:00:09+00:00
3,2026-05-21T07:50:00+09:00,2026-05-21T07:00:00+09:00,2026-05-21,3,목,0,1,,7,07:50,morning_peak,5000001,5000,5000,11,직행좌석형시내버스,5000001,경기70바101,228000103,3,용인시청,47612,127.1774,37.2402,4,3,혼잡,45,84,0,0,1,15.8,0.0,62.0,1.8,2.0,clear,0,38.0,18.0,0.031,62.0,보통,0,41.5,820.0,6.0,2,0,2,1,0,2026-05-20T18:00:09+00:00
4,2026-05-21T07:50:00+09:00,2026-05-21T07:00:00+09:00,2026-05-21,3,목,0,1,,7,07:50,morning_peak,5000001,5000,5000,11,직행좌석형시내버스,5000001,경기70바101,228000104,4,기흥역,47613,127.1151,37.2757,2,3,혼잡,45,93,0,1,1,15.8,0.0,62.0,1.8,2.0,clear,0,38.0,18.0,0.031,62.0,보통,0,41.5,820.0,6.0,2,0,2,1,0,2026-05-20T18:00:09+00:00
5,2026-05-21T07:50:00+09:00,2026-05-21T07:00:00+09:00,2026-05-21,3,목,0,1,,7,07:50,morning_peak,5000001,5000,5000,11,직행좌석형시내버스,5000001,경기70바101,228000105,5,신갈오거리,47614,127.1067,37.2863,0,4,매우혼잡,45,100,1,1,1,15.8,0.0,62.0,1.8,2.0,clear,0,38.0,18.0,0.031,62.0,보통,0,41.5,820.0,6.0,2,0,2,1,0,2026-05-20T18:00:09+00:00
16,2026-05-21T07:50:00+09:00,2026-05-21T07:00:00+09:00,2026-05-21,3,목,0,1,,7,07:50,morning_peak,5001100,5001-1(A),5001-1A,11,직행좌석형시내버스,5001100,경기70바401,228000101,1,명지대,47610,127.1901,37.2221,15,1,여유,45,50,0,0,0,15.8,0.0,62.0,1.8,2.0,clear,0,38.0,18.0,0.031,62.0,보통,0,41.5,820.0,6.0,2,0,2,1,0,2026-05-20T18:00:09+00:00
17,2026-05-21T07:50:00+09:00,2026-05-21T07:00:00+09:00,2026-05-21,3,목,0,1,,7,07:50,morning_peak,5001100,5001-1(A),5001-1A,11,직행좌석형시내버스,5001100,경기70바401,228000102,2,명지대입구,47611,127.1885,37.2244,6,2,보통,45,77,0,0,0,15.8,0.0,62.0,1.8,2.0,clear,0,38.0,18.0,0.031,62.0,보통,0,41.5,820.0,6.0,2,0,2,1,0,2026-05-20T18:00:09+00:00
18,2026-05-21T07:50:00+09:00,2026-05-21T07:00:00+09:00,2026-05-21,3,목,0,1,,7,07:50,morning_peak,5001100,5001-1(A),5001-1A,11,직행좌석형시내버스,5001100,경기70바401,228000103,3,용인시청,47612,127.1774,37.2402,1,3,혼잡,45,97,0,1,1,15.8,0.0,62.0,1.8,2.0,clear,0,38.0,18.0,0.031,62.0,보통,0,41.5,820.0,6.0,2,0,2,1,0,2026-05-20T18:00:09+00:00
19,2026-05-21T07:50:00+09:00,2026-05-21T07:00:00+09:00,2026-05-21,3,목,0,1,,7,07:50,morning_peak,5001100,5001-1(A),5001-1A,11,직행좌석형시내버스,5001100,경기70바401,228000104,4,기흥역,47613,127.1151,37.2757,0,4,매우혼잡,45,100,1,1,1,15.8,0.0,62.0,1.8,2.0,clear,0,38.0,18.0,0.031,62.0,보통,0,41.5,820.0,6.0,2,0,2,1,0,2026-05-20T18:00:09+00:00
20,2026-05-21T07:50:00+09:00,2026-05-21T07:00:00+09:00,2026-05-21,3,목,0,1,,7,07:50,morning_peak,5001100,5001-1(A),5001-1A,11,직행좌석형시내버스,5001100,경기70바401,228000105,5,신갈오거리,47614,127.1067,37.2863,0,4,매우혼잡,45,100,1,1,1,15.8,0.0,62.0,1.8,2.0,clear,0,38.0,18.0,0.031,62.0,보통,0,41.5,820.0,6.0,2,0,2,1,0,2026-05-20T18:00:09+00:00
